Chrom,Start,Stop,GeneID,Num,Strand
chr5,45668700,45669708,1600023N17Rik,0,-
chr8,103343877,103344160,1600027J07Rik,0,-
chr5,30484012,30484087,1700001C02Rik,0,+
chr17,47412733,47413561,1700001C19Rik,0,-
chr8,61282260,61282416,1700001D01Rik,0,-
chr14,43342383,43342666,1700001F09Rik,0,-
chr14,66296808,66297129,1700001G11Rik,0,-
chr5,146182449,146182533,1700001J03Rik,0,-
chr12,110667688,110667806,1700001K19Rik,0,-
chr19,53248735,53248953,1700001K23Rik,0,-
chr15,83353846,83358950,1700001L05Rik,0,-
chr13,68613009,68614231,1700001L19Rik,0,+
chr2,30795562,30795805,1700001O22Rik,0,-
chr11,97771480,97771576,1700001P01Rik,0,-
chr5,11749832,11750102,1700003C15Rik,0,-
chr11,98350717,98351994,1700003D09Rik,0,-
chr6,83162891,83162975,1700003E16Rik,0,+
chr2,154549947,154550048,1700003F12Rik,0,+
chr9,45319092,45319319,1700003G13Rik,0,-
chr7,116081761,116082086,1700003G18Rik,0,-
chr3,124565890,124566198,1700003H04Rik,0,-
chr4,34711331,34711380,1700003M02Rik,0,-
chr3,124401154,124401389,1700006A11Rik,0,-
chr11,101992119,101992264,1700006E09Rik,0,+
chr8,75984295,75984507,1700007B14Rik,0,+
chr3,58141706,58142886,1700007F19Rik,0,-
chr5,98801910,98802019,1700007G11Rik,0,+
chr11,59733794,59734216,1700007J10Rik,0,-
chr7,131325930,131326098,1700007K09Rik,0,-
chr2,28462000,28462245,1700007K13Rik,0,-
chr16,33379853,33380379,1700007L15Rik,0,-
chr7,127510437,127512869,1700008J07Rik,0,-
chr17,49112263,49112849,1700008K24Rik,0,-
chr7,44360044,44360185,1700008O03Rik,0,-
chr3,6615412,6615577,1700008P02Rik,0,-
chr6,81900464,81900748,1700009C05Rik,0,-
chr4,39451446,39451778,1700009N14Rik,0,+
chr2,173721984,173722086,1700010B08Rik,0,+
chrX,95732589,95732712,1700010D01Rik,0,-
chr3,7925302,7925493,1700010I02Rik,0,-
chr17,9007987,9008319,1700010I14Rik,0,+
chr15,101453629,101453909,1700011A15Rik,0,+
chr17,87389570,87389595,1700011E24Rik,0,-
chr14,49226358,49226565,1700011H14Rik,0,-
chr18,57730941,57731065,1700011I03Rik,0,+
chr8,79210429,79210649,1700011L22Rik,0,-
chr6,32058779,32058915,1700012A03Rik,0,+
chr11,109788290,109788713,1700012B07Rik,0,-
chr9,14758193,14758450,1700012B09Rik,0,-
chr7,111122382,111122675,1700012D14Rik,0,-
chr3,153296501,153297007,1700012D16Rik,0,-
chr11,112824912,112825128,1700012H19Rik,0,-
chrX,9284176,9284288,1700012L04Rik,0,+
chr4,144418190,144418403,1700012P22Rik,0,-
chr6,124347593,124347697,1700013D24Rik,0,-
chr3,108544647,108544697,1700013F07Rik,0,+
chr4,137455396,137455461,1700013G24Rik,0,+
chrX,53742900,53743165,1700013H16Rik,0,-
chr1,170312048,170312125,1700015E13Rik,0,+
chr5,5437826,5437917,1700015F17Rik,0,-
chr7,52011679,52011829,1700015G11Rik,0,-
chr1,177753171,177753305,1700016C15Rik,0,+
chr8,11654923,11655604,1700016D06Rik,0,-
chr13,5855508,5855951,1700016G22Rik,0,-
chr5,103648586,103648820,1700016H13Rik,0,-
chr11,76003485,76003569,1700016K19Rik,0,+
chr9,57252321,57253961,1700017B05Rik,0,-
chr19,11096815,11096936,1700017D01Rik,0,-
chr3,40504864,40506013,1700017G19Rik,0,-
chr10,100618101,100618391,1700017N19Rik,0,+
chr13,31579942,31580153,1700018A04Rik,0,-
chr8,121530783,121531022,1700018B08Rik,0,-
chr3,48605730,48609100,1700018B24Rik,0,-
chr4,63607090,63607311,1700018C11Rik,0,-
chr5,145045551,145045678,1700018F24Rik,0,+
chr1,53158576,53158746,1700019A02Rik,0,-
chr8,3487158,3487178,1700019B03Rik,0,+
chrX,62510538,62510998,1700019B21Rik,0,-
chr13,35211821,35212048,1700019C18Rik,0,-
chr1,52925126,52925246,1700019D03Rik,0,-
chr6,85899049,85900858,1700019G17Rik,0,-
chr6,5963896,5964171,1700019G24Rik,0,-
chr2,32777412,32777497,1700019L03Rik,0,-
chr12,96046620,96047222,1700019M22Rik,0,-
chr19,58785802,58785995,1700019N19Rik,0,-
chr1,86427963,86428049,1700019O17Rik,0,+
chr2,130406018,130406074,1700020A23Rik,0,+
chr19,5502768,5502866,1700020D05Rik,0,-
chrY,321657,321975,1700020D14Rik,0,-
chr10,110801173,110801510,1700020G17Rik,0,-
chr11,83440922,83441232,1700020L24Rik,0,+
chr9,120913773,120914090,1700020M21Rik,0,-
chrX,69945838,69945980,1700020N15Rik,0,+
chr1,91404878,91405182,1700020N18Rik,0,-
chr10,43525120,43525228,1700021F05Rik,0,-
chr2,173528344,173528502,1700021F07Rik,0,+
chr16,32821701,32823967,1700021K19Rik,0,-
chr4,134448764,134449368,1700021N21Rik,0,-
chr16,59466871,59467061,1700022E09Rik,0,-
chr10,61674526,61675058,1700022H01Rik,0,-
chr12,9570205,9570383,1700022H16Rik,0,-
chr4,42974220,42974325,1700022I11Rik,0,+
chr10,66120608,66120843,1700023F02Rik,0,-
chr11,103198943,103198960,1700023F06Rik,0,-
chr14,32376501,32376596,1700024G13Rik,0,-
chr13,63675755,63675972,1700024I08Rik,0,-
chr6,43162453,43162784,1700024N05Rik,0,-
chr13,98984089,98984144,1700024P04Rik,0,-
chr4,105016143,105016863,1700024P16Rik,0,+
chr15,77558239,77558527,1700025B11Rik,0,-
chr2,165078692,165079057,1700025C18Rik,0,-
chr19,11139682,11139806,1700025F22Rik,0,-
chr1,151884523,151893393,1700025G04Rik,0,-
chr17,54352582,54353077,1700025K24Rik,0,-
chr5,73268579,73268976,1700025M24Rik,0,-
chr6,39063878,39064563,1700025N23Rik,0,-
chr7,83775616,83775969,1700026D08Rik,0,-
chr8,71010313,71010508,1700026F02Rik,0,-
chr6,48536835,48537474,1700026J14Rik,0,-
chr2,28692079,28692140,1700026L06Rik,0,-
chr6,124363281,124363516,1700027F06Rik,0,-
chr5,64454812,64455285,1700027F09Rik,0,-
chr3,45416583,45416783,1700027H10Rik,0,-
chr9,36692865,36693189,1700027I24Rik,0,-
chr7,44229929,44230641,1700028J19Rik,0,-
chr5,107549097,107551542,1700028K03Rik,0,+
chr3,83560524,83560786,1700028M03Rik,0,-
chr19,23558759,23558854,1700028P14Rik,0,-
chr2,171956878,171957159,1700028P15Rik,0,-
chr13,97021863,97022588,1700029F12Rik,0,-
chr8,13550721,13551118,1700029H14Rik,0,-
chr2,92383569,92383603,1700029I15Rik,0,+
chr16,93396814,93397120,1700029J03Rik,0,-
chr8,45953605,45953745,1700029J07Rik,0,-
chr15,81981012,81981563,1700029P11Rik,0,+
chr12,20804391,20805681,1700030C10Rik,0,-
chr6,117679206,117679343,1700030F04Rik,0,-
chr15,99918347,99918450,1700030F18Rik,0,-
chr8,116969598,116971136,1700030J22Rik,0,-
chr8,72460151,72460541,1700030K09Rik,0,+
chr3,136448958,136449349,1700030L20Rik,0,-
chr19,3153798,3154009,1700030N03Rik,0,-
chr10,116723535,116723838,1700030O20Rik,0,-
chrX,102859186,102859740,1700031F05Rik,0,-
chr12,52602179,52602322,1700031P21Rik,0,-
chr18,52663718,52663731,1700034E13Rik,0,+
chr5,112582935,112583446,1700034G24Rik,0,-
chr1,191894071,191897128,1700034H15Rik,0,-
chr3,40900198,40902543,1700034I23Rik,0,-
chr6,146951300,146952251,1700034J05Rik,0,-
chr9,92979915,92980255,1700034K08Rik,0,-
chr6,41685390,41685717,1700034O15Rik,0,+
chr16,3905797,3906142,1700037C18Rik,0,-
chr2,131146324,131146874,1700037H04Rik,0,-
chr7,45288533,45288993,1700039E15Rik,0,+
chr19,44835490,44835938,1700039E22Rik,0,-
chr10,68430955,68431248,1700040L02Rik,0,-
chr5,88294819,88294985,1700041A01Rik,0,-
chr16,77004227,77004903,1700041M19Rik,0,-
chr4,116174207,116174297,1700042G07Rik,0,+
chr4,57359791,57361417,1700042G15Rik,0,-
chr4,150828224,150828481,1700045H11Rik,0,-
chr11,14560335,14560599,1700046C09Rik,0,-
chr14,44212910,44213237,1700047E10Rik,0,-
chr12,55214043,55217146,1700047I17Rik2,0,+
chr16,92308715,92309079,1700048M11Rik,0,-
chr7,27907391,27910039,1700049G17Rik,0,-
chr10,71979884,71980690,1700049L16Rik,0,-
chr12,80924227,80924447,1700052I22Rik,0,-
chr11,105179020,105181433,1700052K11Rik,0,-
chr9,64041306,64041465,1700055C04Rik,0,-
chr1,184033031,184033155,1700056E22Rik,0,-
chr9,92357755,92357876,1700057G04Rik,0,+
chr4,124449625,124450455,1700057H15Rik,0,-
chr2,51437693,51437900,1700057H21Rik,0,-
chr6,143615474,143615709,1700060C16Rik,0,-
chr17,56888722,56888838,1700061G19Rik,0,+
chr3,117077392,117077765,1700061I17Rik,0,-
chr1,95990658,95990903,1700063A18Rik,0,-
chr5,91766241,91766552,1700063O14Rik,0,-
chr12,99627605,99627974,1700064M15Rik,0,-
chr9,95857365,95857517,1700065D16Rik,0,-
chr6,73436964,73437208,1700065L07Rik,0,-
chr18,49803331,49803527,1700065O20Rik,0,-
chr1,39845664,39845846,1700066B17Rik,0,-
chr18,35728848,35730869,1700066B19Rik,0,+
chr1,57383564,57385422,1700066M21Rik,0,+
chr5,87979045,87979351,1700066N21Rik,0,-
chr18,57504421,57505057,1700066O22Rik,0,-
chr8,84004625,84004770,1700067K01Rik,0,+
chr17,48090748,48090920,1700067P10Rik,0,+
chr5,113692423,113692819,1700069L16Rik,0,-
chr6,118247905,118248454,1700069P05Rik,0,-
chr11,81572501,81572657,1700071K01Rik,0,-
chr17,43589772,43591509,1700071M16Rik,0,-
chr6,40920459,40920991,1700074P13Rik,0,-
chr9,105143343,105143439,1700080E11Rik,0,-
chr2,4140932,4141141,1700080N15Rik,0,-
chrX,51968694,51968952,1700080O16Rik,0,-
chr1,169934200,169934653,1700084C01Rik,0,+
chr2,30237197,30237631,1700084E18Rik,0,-
chr13,70004049,70004591,1700084F23Rik,0,-
chr15,33405208,33405939,1700084J12Rik,0,-
chrX,91575210,91575564,1700084M14Rik,0,-
chr12,82932519,82933394,1700085C21Rik,0,-
chr18,38238404,38239189,1700086O06Rik,0,-
chr15,79134654,79135150,1700088E04Rik,0,-
chr14,42089749,42090518,1700091H14Rik,0,-
chr14,69171575,69171843,1700092C10Rik,0,-
chr13,26283158,26284263,1700092E19Rik,0,-
chr19,8741156,8741225,1700092M07Rik,0,+
chr11,23516202,23516439,1700093K21Rik,0,-
chr3,90065611,90068347,1700094D03Rik,0,+
chr4,146519038,146519927,1700095A21Rik,0,-
chr4,138137895,138138518,1700095J12Rik,0,-
chr8,87636097,87636349,1700096P03Rik,0,-
chr17,30624199,30624613,1700097N02Rik,0,-
chr14,114940224,114940937,1700100I10Rik,0,-
chr2,28955480,28955537,1700101E01Rik,0,-
chr6,129532183,129532942,1700101I11Rik,0,-
chr12,7372038,7372203,1700101O22Rik,0,-
chr9,108397458,108397767,1700102P08Rik,0,+
chr11,88294554,88295261,1700106J16Rik,0,+
chr14,122229904,122230189,1700108J01Rik,0,-
chr14,61294628,61295032,1700109G14Rik,0,-
chr11,84716975,84717159,1700109G15Rik,0,-
chr5,3584296,3584341,1700109H08Rik,0,+
chr7,41089538,41089843,1700110I07Rik,0,-
chrX,69929259,69929689,1700111N16Rik,0,-
chr14,23056034,23056088,1700112E06Rik,0,+
chr1,184528836,184529068,1700112H15Rik,0,-
chr5,77006441,77006822,1700112J05Rik,0,-
chr7,67204081,67205398,1700112J16Rik,0,-
chr3,88171559,88172258,1700113A16Rik,0,-
chr10,87230442,87230599,1700113H08Rik,0,+
chr16,34935854,34936260,1700119H24Rik,0,-
chr18,74525139,74525876,1700120E14Rik,0,-
chr7,135191764,135192234,1700120G07Rik,0,-
chr7,127603902,127604445,1700120K04Rik,0,-
chr12,106442651,106443051,1700121N20Rik,0,-
chr17,48036744,48036767,1700122O11Rik,0,-
chr19,6223566,6224219,1700123I01Rik,0,+
chr7,126224246,126225683,1700123J17Rik,0,-
chr5,138561839,138561964,1700123K08Rik,0,-
chr6,96164502,96166205,1700123L14Rik,0,-
chr4,10742887,10743064,1700123O12Rik,0,-
chr14,54690233,54690742,1700123O20Rik,0,+
chr6,83761758,83762060,1700124L16Rik,0,-
chr4,124894479,124894782,1700125G02Rik,0,-
chr11,85180971,85181154,1700125H20Rik,0,+
chr5,66180016,66180202,1700126H18Rik,0,-
chr14,106423694,106424084,1700128A07Rik,0,-
chr14,59133039,59133403,1700129C05Rik,0,-
chr12,49480529,49480862,1810007C17Rik,0,-
chr19,8890520,8890759,1810009A15Rik,0,+
chr6,40968332,40968427,1810009J06Rik,0,+
chr7,145205817,145206581,1810010D01Rik,0,-
chr11,107029775,107030442,1810010H24Rik,0,+
chr14,32816871,32817968,1810011H11Rik,0,+
chr8,24437615,24438575,1810011O10Rik,0,-
chr16,8856038,8858924,1810013L24Rik,0,+
chr6,87675592,87675896,1810020O05Rik,0,-
chr15,89075613,89075854,1810021B22Rik,0,-
chr3,14606288,14606345,1810022K09Rik,0,-
chr2,127186354,127186674,1810024B03Rik,0,-
chr7,73539797,73544382,1810026B05Rik,0,-
chr9,21593838,21595970,1810026J23Rik,0,+
chrX,12654883,12656486,1810030O07Rik,0,-
chr3,122925479,122926194,1810037I17Rik,0,+
chr14,121879207,121879408,1810041H14Rik,0,-
chr15,84379202,84384391,1810041L15Rik,0,-
chr10,77984547,77985438,1810043G02Rik,0,+
chr11,120100203,120100424,1810043H04Rik,0,+
chr9,51289685,51290046,1810046K07Rik,0,-
chr16,93346056,93347188,1810053B23Rik,0,-
chr19,3717593,3717881,1810055G02Rik,0,+
chr3,36481976,36482299,1810062G17Rik,0,+
chr9,22206785,22208949,1810064F22Rik,0,-
chr11,58425903,58426023,1810065E05Rik,0,+
chr17,33685691,33688095,2-Mar,0,-
chr1,93507712,93509732,2-Sep,0,+
chr11,57795498,57795794,2010001A14Rik,0,-
chr10,39920381,39921256,2010001E11Rik,0,-
chr19,4496787,4497515,2010003K11Rik,0,-
chr16,36257372,36257427,2010005H15Rik,0,+
chr2,158070363,158070635,2010009K17Rik,0,-
chr18,75288659,75289169,2010010A06Rik,0,-
chr19,46701566,46703382,2010012O05Rik,0,+
chr3,106481985,106483433,2010016I18Rik,0,-
chr17,86285166,86285448,2010106C02Rik,0,-
chrX,112557969,112558343,2010106E10Rik,0,+
chr12,111961375,111961509,2010107E04Rik,0,-
chr6,34945294,34946079,2010107G12Rik,0,-
chr10,62107655,62108853,2010107G23Rik,0,-
chr5,93213448,93213474,2010109A12Rik,0,+
chr15,74878335,74879847,2010109I03Rik,0,-
chr13,63298852,63302877,2010111I01Rik,0,+
chrX,7411816,7412532,2010204K13Rik,0,-
chr1,37611675,37612256,2010300C02Rik,0,-
chrX,13234640,13234947,2010308F09Rik,0,-
chr9,124291803,124292990,2010315B03Rik,0,-
chr7,29247520,29247593,2200002D01Rik,0,-
chr7,30700380,30700534,2200002J24Rik,0,+
chr6,41030267,41031634,2210010C04Rik,0,-
chr8,84010227,84010477,2210011C24Rik,0,-
chrX,153741084,153741296,2210013O21Rik,0,+
chr13,58380045,58381779,2210016F16Rik,0,-
chr5,114947997,114948540,2210016L21Rik,0,+
chr7,98590605,98590689,2210018M11Rik,0,-
chr5,147228597,147229201,2210019I11Rik,0,-
chr17,21879569,21879937,2210404O09Rik,0,-
chr5,36455734,36456411,2210406O10Rik,0,-
chr11,58608205,58608327,2210407C18Rik,0,-
chr13,77612644,77613679,2210408I21Rik,0,+
chr18,57632078,57632301,2210409D07Rik,0,-
chr18,82754657,82754888,2210420H20Rik,0,-
chr17,35568816,35568945,2300002M23Rik,0,+
chr11,99837147,99837226,2300003K06Rik,0,-
chr15,74742838,74742996,2300005B03Rik,0,-
chr9,63394446,63394547,2300009A05Rik,0,-
chr6,129232622,129232947,2310001H17Rik,0,-
chr7,43745465,43747790,2310002F09Rik,0,-
chr4,73941578,73942707,2310002L09Rik,0,-
chr9,50232522,50232852,2310003N18Rik,0,-
chr2,155097790,155099007,2310005A03Rik,0,-
chr13,98424109,98424916,2310005E17Rik,0,-
chr1,93151354,93152007,2310007B03Rik,0,-
chr8,26814596,26814807,2310008N11Rik,0,-
chr1,138851978,138852101,2310009B15Rik,0,-
chrX,36814767,36815330,2310010G23Rik,0,-
chr7,90124835,90125032,2310010J17Rik,0,-
chr10,80318254,80319347,2310011J03Rik,0,-
chr12,80120545,80125126,2310015A10Rik,0,-
chr16,13514130,13516487,2310015D24Rik,0,-
chr12,30410558,30411950,2310016D03Rik,0,-
chr13,99076527,99076800,2310020H05Rik,0,-
chr7,27580837,27582098,2310022A10Rik,0,+
chr8,124635755,124637907,2310022B05Rik,0,-
chr1,150320680,150320920,2310030A07Rik,0,-
chr9,50739690,50740500,2310030G06Rik,0,-
chr11,59210344,59210734,2310033P09Rik,0,+
chr16,88759544,88759789,2310034C09Rik,0,+
chr19,46348200,46348988,2310034G01Rik,0,-
chr1,105753623,105755131,2310035C23Rik,0,+
chr8,85029982,85030286,2310036O22Rik,0,+
chr17,46773157,46773407,2310039H08Rik,0,+
chr6,86487794,86488227,2310040G24Rik,0,-
chr1,177641541,177641897,2310043L19Rik,0,-
chr15,38587027,38587314,2310043O21Rik,0,-
chr8,70147089,70148634,2310045N01Rik,0,+
chr8,70167285,70167488,2310045n01rik-mef2b,0,+
chr11,69060880,69061576,2310047M10Rik,0,+
chr3,92868358,92868531,2310050C09Rik,0,-
chr10,28972287,28972578,2310057J18Rik,0,-
chr7,131342717,131343569,2310057M21Rik,0,-
chr16,88773180,88773547,2310057N15Rik,0,-
chr17,35892676,35892852,2310061I04Rik,0,-
chr16,88707170,88707382,2310061N02Rik,0,-
chr11,67112460,67114117,2310065F04Rik,0,-
chr11,115798347,115799033,2310067B10Rik,0,+
chr15,99972166,99973287,2310068J16Rik,0,-
chr6,82877865,82879476,2310069B03Rik,0,-
chr16,88626787,88627043,2310079G19Rik,0,-
chr13,50679169,50679466,2310081J21Rik,0,-
chr3,41500930,41501285,2400006E01Rik,0,-
chr7,44251527,44252319,2410002F23Rik,0,+
chr3,145943870,145944275,2410004B18Rik,0,+
chr11,102958299,102958899,2410004I01Rik,0,-
chr12,17004957,17005998,2410004P03Rik,0,-
chr17,56607451,56607743,2410015M20Rik,0,-
chr12,83952503,83952953,2410016O06Rik,0,+
chr12,22953996,22954837,2410018L13Rik,0,-
chr17,69275361,69275906,2410021H03Rik,0,-
chr15,8270855,8271158,2410089E03Rik,0,+
chr16,92497065,92497365,2410124H12Rik,0,+
chr19,18704121,18704792,2410127L17Rik,0,+
chr5,118261183,118263114,2410131K14Rik,0,+
chr17,36977700,36977981,2410137M14Rik,0,-
chr13,66418113,66418244,2410141K09Rik,0,-
chr2,153341156,153342864,2500004C02Rik,0,-
chr16,18839215,18840113,2510002D24Rik,0,+
chr16,21649044,21653201,2510009E07Rik,0,-
chr4,147946618,147947314,2510039O18Rik,0,+
chr6,13869073,13870740,2610001J05Rik,0,-
chrX,107782751,107787808,2610002M06Rik,0,-
chr8,20385781,20388402,2610005L07Rik,0,-
chr10,79064373,79066470,2610008E11Rik,0,-
chr16,43963412,43964314,2610015P09Rik,0,+
chr19,25671133,25671445,2610016A17Rik,0,-
chr7,119848757,119848938,2610020H08Rik,0,+
chr11,85791659,85793236,2610027K06Rik,0,-
chr4,125887850,125890733,2610028E06Rik,0,-
chr10,76460486,76461218,2610028H24Rik,0,+
chr11,113043905,113045160,2610035D17Rik,0,-
chr14,122471390,122471689,2610035F20Rik,0,-
chr15,96190473,96192894,2610037D02Rik,0,-
chr14,4353462,4354687,2610042L04Rik,0,+
chr8,129216353,129217723,2610044O15Rik8,0,-
chr1,9560832,9561778,2610203C22Rik,0,-
chr4,10898052,10899423,2610301B20Rik,0,+
chr4,147611935,147613026,2610305D13Rik,0,-
chr6,86848406,86849440,2610306M01Rik,0,-
chr13,28460033,28461061,2610307P16Rik,0,-
chr3,45281994,45282164,2610316D01Rik,0,-
chr16,17113397,17113451,2610318N02Rik,0,-
chr11,78289983,78290625,2610507B11Rik,0,+
chr11,59197792,59200302,2610507I01Rik,0,-
chr5,114821936,114822438,2610524H06Rik,0,-
chr14,37102139,37102605,2610528A11Rik,0,-
chr4,118529795,118530217,2610528J11Rik,0,+
chr8,60907468,60907572,2700029M09Rik,0,+
chr18,62751673,62753333,2700046A07Rik,0,-
chr12,71243095,71243303,2700049A03Rik,0,+
chr17,13487020,13490839,2700054A10Rik,0,-
chr14,19811401,19812082,2700060E02Rik,0,-
chr18,24477422,24477767,2700062C07Rik,0,+
chr3,5177823,5178389,2700069I18Rik,0,-
chr19,7423106,7425904,2700081O15Rik,0,+
chr2,84669220,84669397,2700094K13Rik,0,-
chr12,55045660,55045943,2700097O09Rik,0,-
chr8,124839354,124839833,2810004N23Rik,0,-
chr5,124339031,124340121,2810006K23Rik,0,+
chr11,58881313,58884338,2810021J22Rik,0,+
chr12,111572316,111573740,2810029C07Rik,0,-
chr7,8086046,8086971,2810047C21Rik1,0,-
chr3,88711829,88712933,2810403A07Rik,0,+
chr2,116074547,116076096,2810405F15Rik,0,-
chr11,69897357,69897488,2810408A11Rik,0,-
chr1,64679868,64680385,2810408I11Rik,0,-
chr11,120186649,120187751,2810410L24Rik,0,-
chr9,65901603,65903551,2810417H13Rik,0,+
chr8,70504295,70504436,2810428I15Rik,0,-
chr11,102619506,102620460,2810433D01Rik,0,-
chr1,86053089,86055456,2810459M11Rik,0,+
chr6,149334749,149335663,2810474O19Rik,0,+
chrX,12136400,12137200,2900008C10Rik,0,-
chr1,127753616,127753953,2900009J06Rik,0,-
chr16,14099905,14101494,2900011O08Rik,0,+
chr5,113086322,113091024,2900026A02Rik,0,-
chr18,76091556,76091971,2900057B20Rik,0,-
chr1,118458668,118459265,2900060B14Rik,0,-
chr7,12556053,12556321,2900092C05Rik,0,+
chr2,156388062,156392979,2900097C17Rik,0,-
chr18,56761715,56762514,3-Mar,0,-
chr15,82290873,82294442,3-Sep,0,+
chr9,109830153,109831431,3000002C10Rik,0,-
chr11,50200018,50200115,3010026O09Rik,0,+
chr7,124626947,124627203,3100003L05Rik,0,-
chr16,13677977,13678385,3110001I22Rik,0,+
chr18,12189885,12189969,3110002H16Rik,0,+
chr1,120188117,120188189,3110009E18Rik,0,+
chr12,110151653,110152969,3110009F21Rik,0,-
chr13,111228941,111229431,3110015C05Rik,0,-
chr4,108780896,108781904,3110021N24Rik,0,+
chr1,9624896,9627142,3110035E14Rik,0,+
chr7,81782186,81782581,3110040N11Rik,0,-
chr4,35191281,35192881,3110043O21Rik,0,-
chr17,21662540,21664966,3110052M02Rik,0,+
chr12,71009701,71010479,3110056K07Rik,0,-
chr3,40935393,40936307,3110057O12Rik,0,+
chr6,34871770,34874443,3110062M04Rik,0,-
chr13,119487256,119488384,3110070M22Rik,0,-
chr1,87475438,87475459,3110079O15Rik,0,+
chr5,139359738,139360544,3110082I17Rik,0,-
chr5,30103583,30103888,3110082J24Rik,0,-
chr2,115493512,115496007,3110099E03Rik,0,-
chr12,88365313,88366876,3200001D21Rik,0,-
chr2,150310936,150311019,3300002I08Rik,0,-
chr7,3421664,3422584,3300002P13Rik,0,-
chr14,32659118,32659767,3425401B19Rik,0,-
chr14,49682018,49682347,3632451O06Rik,0,-
chrX,135022421,135025433,3632454L22Rik,0,-
chrX,56153213,56153496,3830403N18Rik,0,+
chr14,12301147,12303231,3830406C13Rik,0,+
chrX,64178352,64178778,3830417A13Rik,0,+
chr1,119529479,119531596,3830432H09Rik,0,-
chr8,10924426,10926995,3930402G23Rik,0,-
chr1,72427111,72428641,4-Mar,0,-
chr11,87590315,87590539,4-Sep,0,+
chr19,28923063,28923702,4430402I18Rik,0,-
chr3,89767510,89769562,4632404H12Rik,0,-
chr7,92741061,92741459,4632427E13Rik,0,-
chr10,60368939,60372684,4632428N05Rik,0,+
chr15,101552355,101553147,4732456N10Rik,0,-
chr11,113203314,113205167,4732490B19Rik,0,-
chr7,67784537,67785292,4833412C05Rik,0,-
chr17,87282173,87282814,4833418N02Rik,0,-
chr13,119485917,119486117,4833420G17Rik,0,+
